order_id,customer_id,amount,status,created_at
1001,C001,250000,completed,2026-09-01
1002,C002,180000,completed,2026-09-01
1003,C001,95000,cancelled,2026-09-02
1004,C003,320000,completed,2026-09-02
1005,C002,150000,completed,2026-09-03
1006,C004,,completed,2026-09-03
1007,C001,420000,completed,2026-09-04
1008,C005,75000,cancelled,2026-09-04
1009,C003,210000,completed,2026-09-05
1010,C002,99000,completed,2026-09-05
1011,C006,500000,completed,2026-09-06
1012,C001,60000,cancelled,2026-09-06
1013,C004,175000,completed,2026-09-07
1014,C003,225000,completed,2026-09-07
1015,C005,340000,completed,2026-09-08
1016,C002,85000,completed,2026-09-08
1017,C006,190000,cancelled,2026-09-09
1018,C001,410000,completed,2026-09-09
1019,C004,130000,completed,2026-09-10
1020,C003,275000,completed,2026-09-10
